,Unnamed: 0,Vac_name,City,From_salary,To_salary,Date,Expirience,Employment,Work_schedule,Descriptions,Duties,Requiremenst,Terms,Key_skills,Day_from_pars
299,299,Sales manager,Москва,55000.0,150000.0,2020-10-20T12:39:08+0300,От 1 года до 3 лет,Полная занятость,Полный день, ,"   продажа по телефону   ведение воронки продаж   встречи с заказчиком, проведение переговоров   развитие клиентской базы   составление коммерческих предложений   подбор оборудования по спецификации   выставление счетов   контроль опла   ",   опыт работы в сфере оптовых продаж ИТ оборудования от 2х лет   целеустремленность   желание развиваться   понимание того что делаешь   ,   5\2   оклад + высокий % от продаж   приятный слаженный коллектив   корпоративная культура   дополнительное обучение от прямых производителей   , Ведение переговоров; Развитие продаж; Холодные продажи; Управление проектами; Телефонные переговоры; Ведение клиентской базы; Подготовка коммерческих предложений;,8
300,300,Project manager,Санкт-Петербург,91257.0,111547.0,2020-10-20T09:52:00+0300,От 3 до 6 лет,Полная занятость,Полный день, ,"   Выстраивание коммуникации с заказчиком;   Определение, сбор, анализ и формализация требований к системе;   Построение моделей бизнес-процессов к разрабатываемым системам;   Составление спецификаций и технических заданий к разрабатываемым системам;   Постановка задач команде программистов;   Участие в работах по тестированию в процессе аналитической деятельности и разработки документации;   Участие в подготовке и сдаче ТЗ, проектной и эксплуатационной документации, требований пользователей;   Взаимодействие с представителями Заказчика;   ","   Высшее образование (Техническое ИТ\Менеджмент);   Предпочитаемый опыт работы от 1 года: руководитель проекта, менеджер проекта, специалист отдела внедрения;   Понимание жизненного цикла разработки программного обеспечения;   Знание ITIL\ITSM   Понимание описания процессов с помощью различных нотаций;   Понимание основ сервис-ориентированной архитектуры;   Опыт работы с Jira\Confluence будет преимуществом.   ","   Уровень заработной платы обсуждается индивидуально;   График работы: пн-чт с 10.00 до 19.00, пт с 9.00 до 18.00;   Месторасположение офиса – станция метро Комендантский пр.;   Льготное питание в ресторанах ТОКИО-CITY;   Официальное оформление;   Не является публичной офертой.   ", Atlassian Jira; Управление проектами; Atlassian Confluence; MS Visio; MS Project;,8
301,301,Project manager,Москва,102775.0,124084.0,2020-10-19T13:21:33+0300,От 3 до 6 лет,Полная занятость,Полный день, Всем привет! ,,  Чем предстоит заниматься:  ,, Управление проектами; Управление командой; Project management; Работа в команде; Деловая коммуникация; BPMN; ARIS; Управление рисками; Управление качеством; Управление изменениями;,9
302,302,Project manager,Москва,100000.0,180000.0,2020-10-20T13:58:39+0300,От 1 года до 3 лет,Полная занятость,Гибкий график, Мы приглашаем вас стать частью команды по созданию b2b онлайн-маркетплейса. Проект будет развиваться по модели стартапа внутри большой профильной компании. ,   ,"   Высшее образование и продолжительный опыт работы на руководящей   позиции в IT. Дополнительное бизнес-образование будет преимуществом   Понимание архитектуры IT и опыт создания IT проектов в компаниях, от 3 лет   Опыт создания и реализации стратегии развития IT-систем. Релевантный опыт – создание онлайн-магазинов, перевод компаний на цифровой учет движения товаров, разработка маркетплейсов   Желательно опыт работы или знание 1С (неотъемлемой часть системы будет интеграция с 1С)   Знание языков программирования, умение программировать вручную – не обязательно. Важен навык организации процесса в качестве Project Manager или Product Manager. Опыт руководства созданием платформ на PHP или Java будет преимуществом   ",, Управление проектами; Agile Project Management; Project management; руководство командой разработчиков;,8
303,303,Sales manager,Санкт-Петербург,59131.0,106428.0,2020-10-21T14:29:48+0300,От 3 до 6 лет,Проектная работа,Удаленная работа, Мы ищем  Sales manager  на проект со сдельной оплатой .   ,,,   сдельная работа;   оплата за привлеченного клиента 10-15% от оборота;   оплата ДС по приходу от заказчика.   , sales; B2B Продажи;,7
304,304,Владелец продукта IT / Product Owner IT (направление логистики),Москва,,,2020-10-19T11:58:07+0300,Более 6 лет,Полная занятость,Полный день,"  В крупнейшую  алкогольную компанию в России, лидер по производству водки и ликеро-водочных изделий требуется product owner на направление логистики.   Выполняемые функции:  ",,"   Глубокое понимание бизнес-процессов логистики, опыт работы с WMS, ERP   Понимание процесса разработки ИТ-систем   Развитые навыки в области оценки бизнес-эффектов и ROI   Предпринимательский подход   Развитые коммуникабельные навыки   Навыки успешной работы в рамках кросс-функциональных команд   Опыт работы с гибкими методологиями Agile (Scrum\Kanban) и соответствующими инструментами   ",, WMS; Оптимизация логистических процессов; ERP; ROI;,9
305,305,Project manager,Санкт-Петербург,91257.0,111547.0,2020-10-20T17:20:00+0300,От 3 до 6 лет,Полная занятость,Полный день, ,   ,"   Профессиональная грамотность;   Готовность учиться и постоянно повышать свой профессиональный уровень;   Грамотная устная и письменная речь;   Свободное владение английским языком;   Готовность к работе с большим объемом информации;   Коммуникабельность, стрессоустойчивость, ответственность, пунктуальность, техническая грамотность, способность к быстрому освоению специфического ПО компании.   ","   Комфортный, оборудованный всем необходимым для работы офис;   Профессиональный и финансовый рост;   Оформление по ТК РФ;   5/2 полный рабочий день с 09:00 до 18:00.   ", Оперативный поиск информации в сети Интернет; Поддержка работы офиса; Сканер;,8
306,306,Помощник руководителя в IT-стартап,Москва,50000.0,60000.0,2020-10-19T19:00:43+0300,Нет опыта,Полная занятость,Полный день," IT-компания, стартап. ", Помощь в реализации проектов руководителя в следующих областях: ,"   Высшее образование или студентка старших курсов с возможностью работать на полный день.   Техническое специальность будет Вам плюсом.   Живой ум, многозадачность, желание развития.   Английский B1+   ",   Работа в молодом дружном коллективе   Современный бизнес-центр   5/2   , Креативность; Английский язык; Управление временем; Многозадачность; Документооборот;,9
307,307,Project manager,Москва,102775.0,124084.0,2020-10-19T14:48:25+0300,Более 6 лет,Полная занятость,Полный день, ,"   Планирование, организация и контроль исполнения планов, этапов, сроков, ресурсов, бюджета по утвержденному проекту;   Разработка проектных планов и осуществление ежедневного контроля;   Контроль качества материалов проекта на соответствие требованиям Заказчика;   Контроль достижения целей и результатов проекта;   Контроль ключевых рисков проекта;   Контроль рабочей документации по проекту, в том числе утверждение организационных документов;   Подготовка отчетов, презентаций о статусе проекта, своевременное информирование вышестоящего руководства, заказчика и органа принятия решений о ходе и результатах выполнения работ по проекту;   Организация работы проектной команды: распределение задач, осуществление руководства и контроль, обеспечение коммуникации внутри проектной команды, информирование сотрудников о ходе проекта, достигнутых результатах, принятых решений и изменениях;   Проведение встреч/оперативных совещаний со смежными подразделениями;   Отражение плановых и фактических показателей (в том числе трудозатрат) проекта в информационных системах управления проектом и прочих отчетных системах, регулярная актуализация данных.   Участие в подготовке материалов для выхода на инвестиционный комитет предприятий периметров проектов.   Подготовка и организация закупочных и конкурсных процедур по проекту;   Контроль исполнения договоров в части сроков и результатов;   Передача результатов проекта на сопровождение.   "," Аналитический склад ума, добросовестность, ответственность, пунктуальность, желание активно развиваться, позитивное отношение к жизни. ",    График работы с 9.00-18.00 пт до 16:45    Испытательный срок 3 месяца;   ДМС (после испытательного срока);   Оформление по ТК РФ;   , Управление проектами; Управление разработкой; Управление рисками; MS Project; MS PowerPoint; Бюджетирование; Бизнес-планирование; Прогнозирование; PMP (Project Manager Professional);,9
308,308,HR manager,Москва,86666.0,137500.0,2020-10-20T16:41:05+0300,От 1 года до 3 лет,Полная занятость,Полный день," РСХБ-Интех, дочерняя компания АО «Россельхозбанк», обеспечивает автоматизацию всего спектра банковских бизнес-процессов, занимается разработкой и развитием информационных технологий, новых технологических продуктов и сервисов. ",,,, Подбор персонала; Массовый подбор персонала; Рекрутмент; Собеседование; Прямой поиск;,8
309,309,IT-рекрутер,Москва,68165.0,70000.0,2020-10-20T12:06:50+0300,От 3 до 6 лет,Полная занятость,Полный день,  Кто мы  ,,,, Деловое общение; Организаторские навыки; Грамотная речь; Креативность; Международный подбор; Подбор персонала; Адаптация персонала;,8
310,310,Product manager,Москва,120000.0,250000.0,2020-10-18T23:04:55+0300,От 3 до 6 лет,Полная занятость,Удаленная работа," “Educate Online Inc”— EdTech компания, занимающаяся дистанционным школьным образование в зарубежных школах (США, Великобритания, Канада). ",,,, Scrum; Agile Project Management; Управление проектами; Дистанционное обучение; Разработка нового продукта; Разработка продукта;,10
311,311,IT Специалист,Санкт-Петербург,30000.0,30000.0,2020-10-19T11:18:41+0300,От 1 года до 3 лет,Полная занятость,Полный день,"  «  Sokos Hotels  »  – это самая известная и крупная финская сеть гостиниц, в которую входит свыше 50 отелей различных концепций. ","   Первая линия поддержки, обработка заявок в системе Service Desk.   Выполнение работ по обслуживанию СКС, рабочих станций, периферии, серверного и сетевого оборудования, гостиничных информационных систем (Opera, Micros).   Техническое сопровождение мероприятий.   Предоставление консультаций / обучение пользователей.   ","   Опыт работы не обязателен, с условием хорошей теоретической подготовки.   Уверенные навыки Microsoft Office / Windows.   Знание английского на уровне чтения мануалов.   Общее представление о принципах работы сетевого оборудования.   Приветствуется опыт по настройке оргтехники, музыкального, проекционного оборудования.   Доброжелательность и открытость: умение найти общий язык с пользователями и гостями отеля.   ","   Бесплатное питание и униформа.   Дружный и профессиональный коллектив (два специалиста и менеджер).   Оформление по договору гражданско-правового характера.   Полностью официальный доход.   График 5/2, возможен торг.   Бесценный опыт работы в международной сети отелей, возможность профессионального и карьерного роста.   Бесплатное обучение и тренинги, «лабораторные условия» для работы с серверным и сетевым оборудованием.   ",,9
312,312,IT Аналитик,Москва,96750.0,110100.0,2020-10-20T15:47:22+0300,От 3 до 6 лет,Полная занятость,Полный день,   ,"   Сбор, формализация и согласование требований к IT-системам (функциональные и нефункциональные требования, требования к интеграции и т.д.)   Описание бизнес-процессов, структур данных, прототипирование интерфейсов   Участие в проектировании IT-систем   Постановка задач разработчикам, контроль их выполнения   Консультирование проектной команды в ходе разработки IT-систем   Участие в проведении приемо-сдаточных испытаний IT-систем   Участие во внедрении и дальнейшем сопровождении IT-систем   ","   Опыт работы IT-аналитиком/системным аналитиков/бизнес-аналитиком   Высшее образование (желательно в сфере IT)   Хороший кругозор в современных ИТ-продуктах/технологиях   Опыт работы в IT-проектах и управления разработкой/внедрением IT-систем   Проведение обследований/интервьюирование функциональных пользователей/Заказчика   Опыт написания технической документации на IT-системы в соответствии с ГОСТ   Опыт участия в интеграционных проектах   Опыт работы в системах баг-трекинга (YouTrack, Redmine, Jira и т.д.)   Знания методологий моделирования бизнес-процессов   Знания методологий разработки ПО   Владение стандартными средствами MS Office (Word, Excel, MS Project, Visio и т.д.) на уровне квалифицированного пользователя   Опыт координации/администрирования/управления людьми, опыт командной разработки   ","     Оформление согласно ТК РФ       Достойная заработная плата по результатам собеседования. Регулярные премии по результатам работы       ДМС       Профессиональный и карьерный рост       Полный рабочий день в офисе. Возможность гибкого графика       Корпоративный волейбол       Возможность внешнего обучения за счет компании       Работа на крупных проектах российских Заказчиков, а также над собственными проектами компании     ",,8
313,313,Project manager,Москва,102775.0,124084.0,2020-10-20T18:07:26+0300,От 1 года до 3 лет,Полная занятость,Полный день, Ваши задачи ,,,, Управление проектами; PMBOK; Управление командой; Руководство коллективом; Управление рисками; Расстановка приоритетов; Аналитические способности;,8
314,314,Project manager,Санкт-Петербург,91257.0,111547.0,2020-10-19T09:04:49+0300,От 1 года до 3 лет,Полная занятость,Полный день," В федеральную ювелирную сеть 585*Золотой, одной из ведущих российских компаний «585 Золотой», в департаменте ИТ Инноваций открыта вакансия  Администратора проектов.  ",,,, Активные продажи; Планирование; CRM; Обучение и развитие; Администрирование;,9
315,315,IT-рекрутер,Москва,40000.0,70000.0,2020-10-18T17:09:22+0300,От 1 года до 3 лет,Полная занятость,Полный день,  ООО «РАЙХАН КАПИТАЛ ГРУПП» («RAYHAAN   CAPITAL   GROUP»)  приглашает на постоянную высокооплачиваемую работу  IT Рекрутер . ,"   Создание профиля должностей;   Определение источников поиска и привлечения кандидатов;   Размещение сведений о вакантной должности на специальных сайтах и других источниках для поиска кандидатов (Европа, Россия);   Поиск и подбор персонала на открытые вакансии из Европы, России.   Проведение телефонных (WhatsApp, Zoom, Telegram, Skype) и личных собеседований с кандидатами   Необходимо нанять большое количество специалистов и закрыть множество типов вакансий по IT   Выполнение первичного отбора кандидатов на вакансии на основании откликов;   Ведение электронной базы кандидатов;   Соблюдение установленных сроков закрытия вакансий;   ","   Опыт работы в как менеджер по подбору персонала не менее 1 года   Нацеленность на результат   Образование высшее;   Вежливая и доброжелательная манера общения   Ответственность, целеустремлённость, порядочность, стрессоустойчивость, настойчивость.   Уверенное владение компьютером (Internet,Word, Excel, Web.)   Знание английского языка является преимуществом;   Умение работать в команде.   ","   Официальное трудоустройство согласно Трудовому Кодексу РФ;   Карьерный рост до Hr директора компании   Тип занятости: Полный рабочий день на территории работодателя;   График работы: 5-дневная рабочая неделя;   Зарплата договорная;   Корпоративная сотовая связь;   Подробности при собеседовании;   Адрес офиса: Москва, Научный проезд, дом 8, стр. 1.   Резюме с подробным описанием и фотографией отправлять на электронный адрес, с указанием должности, на которую вы претендуете и уровнем заработной платы.   Просьба присылать резюме только тем, кто имел успешный опыт.   ", Английский - C2 - В совершенстве; Подбор персонала; Массовый подбор персонала; Рекрутмент; Собеседование; Телефонное интервью; Skype; Адаптация персонала; Кадровое делопроизводство; Управление персоналом; Кадровый менеджмент;,10
316,316,Project manager,Москва,102775.0,124084.0,2020-10-19T13:12:17+0300,От 3 до 6 лет,Полная занятость,Полный день,"  Компания «Инфосистемы Джет»  – один из крупнейших системных интеграторов в России и странах СНГ (входит в топ-15 крупнейших IT-компаний России, топ-5 компаний-поставщиков ИБ). Основные направления деятельности: информационная безопасность, бизнес-решения и программные разработки, ИТ- и телекоммуникационная инфраструктура, аутсорсинг и техническая поддержка. ","   Планирование и контроль сроков, ресурсов проектов;   Управление проектной командой (архитекторы, разработчики, аналитики, инженеры);   Управление изменениями проекта и рисками;   Управление внутренними и внешними коммуникациями проекта.   ","   Опыт работы в качестве менеджера проектов в IT, системной интеграции;   Опыт успешно реализованных проектов по разработке или доработке интеграционных решений (CRM, ERP, IDM, СЭД и др.);   Владение инструментальными средствами управления проектами (MS Project, Bug tracking системы);   Знание основных методологий по управлению проектами и опыт их применения;   Личностные качества: настойчивость, целеустремленность, коммуникабельность, аналитический склад ума, способность самостоятельно принимать решения;   Высшее образование (техническое - как преимущество).   ",,,9
317,317,IT Инженер,Москва,63666.0,81777.0,2020-10-20T19:06:36+0300,Более 6 лет,Полная занятость,Полный день,  Задачи  :  ,,"   Опыт работы в QA от 5 лет;   Знание основ ООП;   Умение ответственно относиться к своей работе, самостоятельность, въедливость, скрупулезность;   Хорошее понимание веб-технологий, мобайла и того, как это все работает: фронтенд, бекенд, браузеры, API, etc;   Опыт написания автотестов предпочтительно на С# (но не критично);   Знание и опыт практического применения техник тест дизайна;   Опыт тестирования API с использованием Postman или аналогов;   Опыт работы с Jira, MS SQL, TestRail (или аналоги), Apium;   Опыт работы в финтех проектах, стартапах, CRM системах будет плюсом;   Опыт удаленной работы.   ",, Test case; SQL; Функциональное тестирование; MS SQL; QA; Аналитика; ООП; Selenium IDE; Unit Testing; Atlassian Jira; Английский язык; C#;,8
318,318,IT Controller,Москва,,,2020-10-20T18:24:29+0300,От 3 до 6 лет,Полная занятость,Полный день," A business division of Volkswagen AG (Financing, leasing, insurance and mobility) is presented with more than 16,000 employees worldwide, with 20.5 million contracts currently on our books and in 48 markets across the globe. Now we're looking for  IT Controller   in Finacial Controlling Department.  ",,,, IFRS; Financial Analysis; MS PowerPoint; SQL; Presentation skills;,8
319,319,Project manager,Москва,102775.0,124084.0,2020-10-20T16:36:16+0300,От 1 года до 3 лет,Полная занятость,Полный день,  Что будешь делать  ,,,, Тренинги; Организация мероприятий; Обучение и развитие; Работа в команде;,8
320,320,IT-рекрутер,Санкт-Петербург,59133.0,109666.0,2020-10-20T22:03:13+0300,От 1 года до 3 лет,Полная занятость,Полный день," NAUMEN — российская ИТ-компания. Мы создаем и внедряем решения, которые помогают компаниям приближать цифровое будущее: оптимизировать бизнес-процессы и улучшать клиентские коммуникации и сервис. Более 200 млн пользователей из России, стран Европы и Азии в повседневной жизни пользуются нашими решениями. ",,,,,8
321,321,Project manager,Москва,102775.0,124084.0,2020-10-21T13:57:24+0300,От 3 до 6 лет,Полная занятость,Полный день," Компания «Ростелеком» - одна из крупнейших в России и Европе телекоммуникационных компаний национального масштаба, присутствующая во всех сегментах рынка услуг связи. ",,   ,, Управление проектами; Системная интеграция; MS Project; руководство командой разработчиков; Бизнес-анализ;,7
322,322,IT Аналитик,Москва,96750.0,110100.0,2020-10-20T16:18:50+0300,От 3 до 6 лет,Полная занятость,Полный день," В нашу команду развития цифровых платформ и работы с данными мы ищем бизнес-аналитика, которому предстоит заниматься развитием существующих и запуском новых продуктов и сервисов. ","   Выяснять, фиксировать, находить и исправлять противоречия в потребностях бизнес-заказчиков и пользователей;   Описывать функциональные и нефункциональные требования к продукту;   Взаимодействовать со всеми участниками процесса: бизнесом, командой разработки, пользователями;   Совместно с командой определять и следить за ключевыми показателями продукта, искать и устранять барьеры на пути пользователя.   Готовить и поддерживать в актуальном состоянии документы.   ","   Опыт работы аналитиком на проектах по разработке ПО (web, мобильные приложения) от 2х лет;   Опыт визуализации бизнес-процессов и объектной и информационной модели хотя бы в одной из нотаций (BPMN, IDEF, UML);   Опыт подготовки требований и документации по ГОСТ или желание в этом разобраться;   Понимание процесса разработки ПО;   Плюсом будет понимание системного анализа и технических деталей;   Орфографическая и пунктуационная грамотность, лаконичность.   ",   Работа в крупной стабильной компании с мировым брендом;   График работы с 10:00 до 19:00;   Доход: фиксированный оклад ;   Возможности профессионального развития и карьерного роста;   Дружный коллектив.   , UML; Бизнес-анализ; BPMN; IDEF; MS Visio;,8
323,323,Технический писатель в сфере IT / Senior Technical Writer,Москва,,,2020-10-19T13:32:50+0300,От 3 до 6 лет,Полная занятость,Гибкий график," Привет, меня зовут Василий Кудрявцев, я HR компании Voximplant, и я ищу бойца к нам в команду. Буду рад, если вы примете участие в отборе на вакансию! ",,,, Английский язык; Техническая документация;,9
324,324,Редактор-эксперт по закупкам IT,Москва,,,2020-10-19T12:02:58+0300,От 1 года до 3 лет,Частичная занятость,Удаленная работа, ,   Редактирование и написание отчетов по предоставленной информации от специалистов IT.   ,"   Опыт редактирования отчетов в сфере закупок IT обязателен;   Грамотная письменная речь;   Высшее или неоконченное высшее образование;   Умение работать в режиме дедлайна;   Хорошие коммуникативные навыки, внимательность, ответственность.   ",   Трудоустройство по ДВОУ;   Удаленная работа;   График работы обсуждается.   , Грамотность; Работа с большим объемом информации; Поиск информации в интернет; Деловая переписка; Деловое общение;,9
325,325,IT Инженер,Санкт-Петербург,44000.0,200000.0,2020-10-19T09:48:26+0300,От 1 года до 3 лет,Полная занятость,Удаленная работа," В IT-команду московского подразделения крупного инвестиционного банка, успешно работающего уже более 20-ти лет, нужен инженер технической поддержки. Возможны варианты удаленного сотрудничества или релокации в столицу. ",,,, Python; Linux; Bash; Английский язык; C++;,9
326,326,IT Директор,Москва,186000.0,220000.0,2020-10-20T09:21:35+0300,Более 6 лет,Полная занятость,Полный день, ,"     Создание единого информационного комплекса группы компаний, внедрение, доработка и поддержание работоспособности модулей комплекса (ERP, CRM, корпоративный менеджмент; электронный документооборот, анализ данных)       Анализ существующих и построение изменений бизнес-процессов компании       Разработка и внедрение единых IT-стандартов в группе       Предложение и реализация проектов, направленных на извлечение синергетического эффекта       Формирование ТЗ по групповым проектам и организация работы по ним       Выстраивание системы коммуникаций с Европейским холдингом       Повышение уровня квалификации подчиненной службы     ",   Опыт постановки и контроля исполнения задач   Опыт работы с удаленными командами   Хорошие коммуникативные навыки   Разговорный уровень английского языка     Опыт работы в холдинговых производственных структурах     ,"   Официальное трудоустройство   Заработная плата выплачивается на банковскую карту 2 раза в месяц (уровень дохода обсуждается с финальным кандидатом индивидуально, по результатам собеседования)   Пятидневная рабочая неделя   ", Английский язык; Электронный документооборот; Работа в команде; Деловая коммуникация; Постановка задач разработчикам; Работа в режиме многозадачности;,8
327,327,IT Аналитик,Санкт-Петербург,105000.0,,2020-10-20T13:59:14+0300,От 3 до 6 лет,Полная занятость,Полный день," Everything’s in place for you to win at Veeam – the global leader in Cloud Data Management. We provide trusted back-up solutions that deliver cloud data management and protection, keeping the world moving for over 360,000 customers including the vast majority of Fortune 500 companies. We’re extremely successful: a billion-dollar company and Leader in the Gartner Magic Quadrant that’s won over 170 top industry awards. But we’re always looking forward. Everyone here plays a part in finding new opportunities and winning new deals, and you’ll be backed by a best-in-service product and an unrivalled reputation for delivering customer satisfaction – our net promoter score is 3.5x the industry average. ","   Collect, review, analyze, and prioritize business and system requirements   Work with other IT teams to translate business and system requirements into functional specifications   Participate in project documentation development (user stories, business process diagrams, requirements, test scenarios)   Actively participate in the implementation of new corporate systems, representing IT interests   Create and publish technical documentation (KB articles, procedures, user guides)   ","   2+ years of experience as a Business analyst in IT or similar position   Analytical mindset and strong analytical skills (ability to define problems, collect data, analyze and formalize it)   Ability to dive into the details of business use cases and get a deep understanding of the system/application usage   Familiarity with various aspects of the IT area (including hardware infrastructure, networking, virtualization, Microsoft platforms, and products)   Good knowledge of modeling tools and notations (BPMN, UML)   Good written and spoken English (Upper-Intermediate / Advanced)   Excellent communication and self-organizational skills   ","   Salary average or higher the market based on your skills and expertise   Modern, energetic, international, working environment in a team of engaged and loyal professionals   Opportunities for professional growth and career promotion   Professional training and education: unlimited access to e-library, professional courses and conferences, English classes   Flexible working schedule and opportunity to work remotely time to time if you need it   Employment according to the Labor Code of the Russian Federation (all payments are fully ""white"" + 28-Day annual leave, etc)   Active corporate life: release pizzas, NY and Company birthday parties. quarter team-building activities   Corporate bonus program (you do not have to choose, you will get all of them):    Sports / fitness compensation   Extended medical insurance policy including dental services   Insurance for your foreign passport   Meal Benefit as a meal card with limit   Extra payments to support important personal events   For candidates: The relocation package (the one-way ticket’s compensation + the relocation allowance in one monthly base pay equivalent)        ",,8
328,328,Project manager,Москва,102775.0,124084.0,2020-10-21T11:43:54+0300,От 3 до 6 лет,Полная занятость,Полный день," Оптово-производственная компания, существуем более 10 лет на рынке. Наша Компания эффективно применяет накопленные за годы работы знания и опыт, что дает нам возможность динамично и стабильно развиваться, а так же ставить перед собой новые амбициозные цели и задачи. ",,"   Оконченное высшее техническое образование.   Опыт работы в похожей должности с аналогичными функциями от 2-3 лет, опыт работы в ед. лице с парком машин от 100 шт, желателен опыт в компаниях оптово-производственной сферы, профессиональные навыки (см. раздел ключевые навыки);   Опыт участия во внедрении/доработки и администрирования 1С8, опыт взаимодействия с программистами: постановка задач, написание ТЗ совместно с пользователями системы, контроль выполнения, выстраивание коммуникация между программистами и внутренними заказчиками (пользователями системы);   Знание: основ программного обеспечения (MS Office, 1С, графических и иных компьютерных программ) архитектуры и содержание аппаратной части современных ПК; принципов работы сетевых протоколов и построения компьютерных сетей; основ организации данных, способы и механизмы управления ими; принципов организации экспертных, операционных и файловых систем; английского языка (технический, в рамках компетенций); законодательных нормы в сфере информации, авторского и смежного прав; правил оформления технической документации; техники безопасности и противопожарной защиты; способов защиты информации, основ информационной безопасности.   Личностные и профессиональные характеристики: самостоятельность и инициативность в работе, высокий уровень самоорганизованности и профессионализма в своей профессии, техническая грамотность, коммуникабельность, внимательность и педантичность в хорошем смысле, аккуратность, пунктуальность, умение работать в режиме многозадачности, ответственное и неравнодушное отношение в работе.   ",," Администрирование серверов Windows; Администрирование сетевого оборудования; Оборудование SAN, NAS; Серверное ПО Microsoft; Системы виртуализации VMware, Hyper-V; офисные АТС, ip-телефония, DECT; Сетевое оборудование Cisco, HP, D-Link и др.; Внедрение и сопровождения систем аудио-видео конференц-связи;",7
